,date,tank,speaker,treatment,settled,cup_position,spl,low_freq,mid_freq,high_freq,aci,adi,aei,larvae_cup
14.3,3-Mar,4,2,reef,1,NA,110.7654677,77.17817886,69.89926175,65.70785017,4703.756302,1.34277153,0.905104658,14
14.4,3-Mar,4,2,reef,1,NA,110.7654677,77.17817886,69.89926175,65.70785017,4703.756302,1.34277153,0.905104658,14
16,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,16
16.1,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,16
16.2,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,16
16.3,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,16
18,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,18
18.1,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,18
18.2,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,18
19,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,19
19.1,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,19
20,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,20
20.1,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,20
20.2,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,20
20.3,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,20
20.4,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,20
20.5,3-Mar,1,1,no sound,1,NA,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975,20
21,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,21
21.1,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,21
21.2,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,21
21.3,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,21
23,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,23
23.1,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,23
23.2,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,23
23.3,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,23
23.4,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,23
24,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,24
25,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,25
25.1,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,25
25.2,3-Mar,3,3,off reef,1,NA,106.4433428,71.49371508,62.17807532,65.27181285,4219.750103,1.357588031,0.919200572,25
26,4-Mar,3,0,vessel,1,1,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
26.1,4-Mar,3,0,vessel,1,1,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
26.2,4-Mar,3,0,vessel,1,1,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
26.3,4-Mar,3,0,vessel,1,1,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
27,4-Mar,3,0,vessel,1,4,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
27.1,4-Mar,3,0,vessel,1,4,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
27.2,4-Mar,3,0,vessel,1,4,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
27.3,4-Mar,3,0,vessel,1,4,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
27.4,4-Mar,3,0,vessel,1,4,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
27.5,4-Mar,3,0,vessel,1,4,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.1,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.2,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.3,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.4,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.5,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.6,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.7,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.8,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
28.9,4-Mar,3,0,vessel,1,3,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
29,4-Mar,3,0,vessel,1,2,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
