date,tank,speaker,treatment,settled,unsettled,cup_position,proportion_settled,,,,,,,,,,,,,,,,
7-Mar,1,3,boat + reef,7,2,3,0.777777778,,,,,,,,,,,,,,,,
7-Mar,1,3,boat + reef,3,7,5,0.3,,,,,,,,,,,,,,,,
7-Mar,1,3,boat + reef,3,7,1,0.3,,,,,,,,,,,,,,,,
7-Mar,1,3,boat + reef,4,3,4,0.571428571,,,,,,,,,,,,,,,,
3-Mar,2,3,boat,4,4,,0.5,,,,,,,,,,,,,,,,
3-Mar,2,3,boat,2,7,,0.222222222,,,,,,,,,,,,,,,,
3-Mar,2,3,boat,3,5,,0.375,,,,,,,,,,,,,,,,
3-Mar,2,3,boat,4,6,,0.4,,,,,,,,,,,,,,,,
3-Mar,2,3,boat,2,8,,0.2,,,,,,,,,,,,,,,,
4-Mar,3,4,boat,4,2,1,0.666666667,,,,,,,,,,,,,,,,
4-Mar,3,4,boat,6,1,4,0.857142857,,,,,,,,,,,,,,,,
4-Mar,3,4,boat,10,0,3,1,,,,,,,,,,,,,,,,
4-Mar,3,4,boat,2,8,2,0.2,,,,,,,,,,,,,,,,
4-Mar,3,4,boat,6,2,5,0.75,,,,,,,,,,,,,,,,
5-Mar,1,1,boat,2,7,3,0.222222222,,,,,,,,,,,,,,,,
5-Mar,1,1,boat,4,6,4,0.4,,,,,,,,,,,,,,,,
5-Mar,1,1,boat,3,6,5,0.333333333,,,,,,,,,,,,,,,,
5-Mar,1,1,boat,5,4,1,0.555555556,,,,,,,,,,,,,,,,
5-Mar,1,1,boat,2,6,2,0.25,,,,,,,,,,,,,,,,
7-Mar,5,2,boat,4,6,1,0.4,,,,,,,,,,,,,,,,
7-Mar,5,2,boat,2,8,4,0.2,,,,,,,,,,,,,,,,
7-Mar,5,2,boat,1,9,2,0.1,,,,,,,,,,,,,,,,
7-Mar,5,2,boat,5,4,5,0.555555556,,,,,,,,,,,,,,,,
7-Mar,5,2,boat,5,2,3,0.714285714,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
