date,tank,speaker,treatment,settled,unsettled,cup_position,spl,low_freq,mid_freq,high_freq,aci,adi,aei
4-Mar,2,0,no sound,6,2,4,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975
4-Mar,2,0,no sound,4,6,5,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975
4-Mar,5,3,off reef,4,4,5,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814
4-Mar,5,3,off reef,6,4,2,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814
4-Mar,5,3,off reef,3,5,3,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814
4-Mar,5,3,off reef,3,4,4,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814
4-Mar,5,3,off reef,7,2,1,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814
5-Mar,1,1,boat,2,7,3,106.0180973,67.50056715,67.57421984,63.01547414,4266.761405,1.656271162,0.850416628
5-Mar,1,1,boat,4,6,4,106.0180973,67.50056715,67.57421984,63.01547414,4266.761405,1.656271162,0.850416628
5-Mar,1,1,boat,3,6,5,106.0180973,67.50056715,67.57421984,63.01547414,4266.761405,1.656271162,0.850416628
5-Mar,1,1,boat,5,4,1,106.0180973,67.50056715,67.57421984,63.01547414,4266.761405,1.656271162,0.850416628
5-Mar,1,1,boat,2,6,2,106.0180973,67.50056715,67.57421984,63.01547414,4266.761405,1.656271162,0.850416628
5-Mar,3,2,healthy reef + boat,6,4,4,107.8353215,71.82872498,66.94398176,66.45164163,4534.834937,1.719611251,0.842699755
5-Mar,3,2,healthy reef + boat,6,4,1,107.8353215,71.82872498,66.94398176,66.45164163,4534.834937,1.719611251,0.842699755
5-Mar,3,2,healthy reef + boat,6,3,3,107.8353215,71.82872498,66.94398176,66.45164163,4534.834937,1.719611251,0.842699755
5-Mar,3,2,healthy reef + boat,2,6,2,107.8353215,71.82872498,66.94398176,66.45164163,4534.834937,1.719611251,0.842699755
5-Mar,3,2,healthy reef + boat,1,8,5,107.8353215,71.82872498,66.94398176,66.45164163,4534.834937,1.719611251,0.842699755
5-Mar,5,3,healthy reef,6,4,5,109.8331782,74.65141033,68.78784135,67.60190074,4782.770723,0.885634819,0.942311613
5-Mar,5,3,healthy reef,5,4,1,109.8331782,74.65141033,68.78784135,67.60190074,4782.770723,0.885634819,0.942311613
5-Mar,5,3,healthy reef,7,2,2,109.8331782,74.65141033,68.78784135,67.60190074,4782.770723,0.885634819,0.942311613
5-Mar,5,3,healthy reef,7,2,3,109.8331782,74.65141033,68.78784135,67.60190074,4782.770723,0.885634819,0.942311613
5-Mar,5,3,healthy reef,7,3,4,109.8331782,74.65141033,68.78784135,67.60190074,4782.770723,0.885634819,0.942311613
5-Mar,4,0,no sound,4,5,3,100.7085773,70.70412375,25.2749249,21.93080994,4097.978203,2.99E-304,0.975
5-Mar,4,0,no sound,4,5,2,100.7085773,70.70412375,25.2749249,21.93080994,4097.978203,2.99E-304,0.975
5-Mar,4,0,no sound,2,8,4,100.7085773,70.70412375,25.2749249,21.93080994,4097.978203,2.99E-304,0.975
5-Mar,4,0,no sound,3,7,1,100.7085773,70.70412375,25.2749249,21.93080994,4097.978203,2.99E-304,0.975
5-Mar,4,0,no sound,3,5,5,100.7085773,70.70412375,25.2749249,21.93080994,4097.978203,2.99E-304,0.975
5-Mar,2,4,off reef,5,3,1,100.2390489,66.79814196,58.60512296,54.59199732,4200.561976,0.520430709,0.964464092
5-Mar,2,4,off reef,2,7,4,100.2390489,66.79814196,58.60512296,54.59199732,4200.561976,0.520430709,0.964464092
5-Mar,2,4,off reef,5,3,5,100.2390489,66.79814196,58.60512296,54.59199732,4200.561976,0.520430709,0.964464092
5-Mar,2,4,off reef,5,3,2,100.2390489,66.79814196,58.60512296,54.59199732,4200.561976,0.520430709,0.964464092
5-Mar,2,4,off reef,6,4,3,100.2390489,66.79814196,58.60512296,54.59199732,4200.561976,0.520430709,0.964464092
7-Mar,5,2,boat,4,6,1,114.1730605,77.98854331,74.14709509,72.19022011,4273.390105,1.937853525,0.802997501
7-Mar,5,2,boat,2,8,4,114.1730605,77.98854331,74.14709509,72.19022011,4273.390105,1.937853525,0.802997501
7-Mar,5,2,boat,1,9,2,114.1730605,77.98854331,74.14709509,72.19022011,4273.390105,1.937853525,0.802997501
7-Mar,5,2,boat,5,4,5,114.1730605,77.98854331,74.14709509,72.19022011,4273.390105,1.937853525,0.802997501
7-Mar,5,2,boat,5,2,3,114.1730605,77.98854331,74.14709509,72.19022011,4273.390105,1.937853525,0.802997501
7-Mar,1,3,healthy reef + boat,4,2,2,109.9018205,71.94492071,71.44656631,66.25778723,4297.52642,1.649829517,0.883501484
7-Mar,1,3,healthy reef + boat,7,2,3,109.9018205,71.94492071,71.44656631,66.25778723,4297.52642,1.649829517,0.883501484
7-Mar,1,3,healthy reef + boat,3,7,5,109.9018205,71.94492071,71.44656631,66.25778723,4297.52642,1.649829517,0.883501484
7-Mar,1,3,healthy reef + boat,3,7,1,109.9018205,71.94492071,71.44656631,66.25778723,4297.52642,1.649829517,0.883501484
7-Mar,1,3,healthy reef + boat,4,3,4,109.9018205,71.94492071,71.44656631,66.25778723,4297.52642,1.649829517,0.883501484
7-Mar,2,4,healthy reef,4,6,3,118.292098,74.0105804,77.3439349,77.55052288,4471.769108,1.608616377,0.851269003
7-Mar,2,4,healthy reef,6,2,2,118.292098,74.0105804,77.3439349,77.55052288,4471.769108,1.608616377,0.851269003
7-Mar,2,4,healthy reef,3,5,5,118.292098,74.0105804,77.3439349,77.55052288,4471.769108,1.608616377,0.851269003
7-Mar,2,4,healthy reef,9,1,1,118.292098,74.0105804,77.3439349,77.55052288,4471.769108,1.608616377,0.851269003
7-Mar,2,4,healthy reef,4,5,4,118.292098,74.0105804,77.3439349,77.55052288,4471.769108,1.608616377,0.851269003
7-Mar,3,0,no sound,6,3,2,89.44347624,59.40335221,25.62507675,24.57162575,4111.859967,2.99E-304,0.975
7-Mar,3,0,no sound,4,6,5,89.44347624,59.40335221,25.62507675,24.57162575,4111.859967,2.99E-304,0.975
7-Mar,3,0,no sound,2,8,3,89.44347624,59.40335221,25.62507675,24.57162575,4111.859967,2.99E-304,0.975
7-Mar,3,0,no sound,2,7,1,89.44347624,59.40335221,25.62507675,24.57162575,4111.859967,2.99E-304,0.975
7-Mar,3,x,no sound,0,8,4,89.44347624,59.40335221,25.62507675,24.57162575,4111.859967,2.99E-304,0.975
7-Mar,4,1,off reef,3,7,5,94.16900835,63.34513162,42.21448641,47.03421591,4315.770445,0.021132273,0.974654658
7-Mar,4,1,off reef,4,4,1,94.16900835,63.34513162,42.21448641,47.03421591,4315.770445,0.021132273,0.974654658
7-Mar,4,1,off reef,3,6,2,94.16900835,63.34513162,42.21448641,47.03421591,4315.770445,0.021132273,0.974654658
7-Mar,4,1,off reef,3,6,3,94.16900835,63.34513162,42.21448641,47.03421591,4315.770445,0.021132273,0.974654658
7-Mar,4,1,off reef,3,6,4,94.16900835,63.34513162,42.21448641,47.03421591,4315.770445,0.021132273,0.974654658
