"","x","predicted","std.error","conf.low","conf.high","group"
"1","reef",0.604003386035948,0.260063051128368,0.478128947536025,0.717458235146917,"1"
"2","reef + vessel",0.470558773586032,0.260634748972013,0.347797198191741,0.596988662715216,"1"
"3","vessel",0.430427454721343,0.262074945660909,0.311360862180345,0.558123563798277,"1"
"4","off reef",0.428657373570895,0.262648939390797,0.309573580770188,0.556618946655601,"1"
"5","no sound",0.366179561376265,0.263362376582409,0.256388919296982,0.491885436640788,"1"
